carList
0	20	40	25.0	800.0	500.0	0.3
1	24	40	20.0	960.0	480.0	0.3
2	28	30	28.0	840.0	784.0	0.34
3	32	30	12.0	960.0	384.0	0.35
4	36	30	6.0	1080.0	216.0	0.31
5	40	25	12.0	1000.0	480.0	0.32
6	44	20	17.0	880.0	748.0	0.39
7	48	15	4.0	720.0	192.0	0.37
8	52	15	1.0	780.0	52.0	0.36
9	20	40	25.0	800.0	500.0	0.32
10	24	40	20.0	960.0	480.0	0.3
11	28	30	28.0	840.0	784.0	0.3
12	32	30	12.0	960.0	384.0	0.32
13	36	30	6.0	1080.0	216.0	0.32
14	40	25	12.0	1000.0	480.0	0.33
15	44	20	17.0	880.0	748.0	0.37
16	48	15	4.0	720.0	192.0	0.34
17	52	15	1.0	780.0	52.0	0.32
18	20	40	25.0	800.0	500.0	0.35
19	24	40	20.0	960.0	480.0	0.37
20	28	30	28.0	840.0	784.0	0.31
21	32	30	12.0	960.0	384.0	0.29
22	36	30	6.0	1080.0	216.0	0.32
23	40	25	12.0	1000.0	480.0	0.33
24	44	20	17.0	880.0	748.0	0.34
25	48	15	4.0	720.0	192.0	0.36
26	52	15	1.0	780.0	52.0	0.31
27	20	20	20.0	400.0	400.0	0.39
28	24	15	14.0	360.0	336.0	0.38
29	28	15	14.5	420.0	406.0	0.24
30	32	40	39.0	1280.0	1248.0	0.22
31	36	40	1.0	1440.0	36.0	0.27
32	40	20	19.0	800.0	760.0	0.28
33	44	15	10.0	660.0	440.0	0.3
34	48	15	9.0	720.0	432.0	0.31
35	52	40	39.0	2080.0	2028.0	0.42
36	20	40	39.0	800.0	780.0	0.41
37	24	20	19.0	480.0	456.0	0.19
38	28	15	5.0	420.0	140.0	0.32
39	32	15	0.0	480.0	0.0	0.34
40	36	40	22.0	1440.0	792.0	0.32
41	40	40	0.025	1600.0	1.0	0.35
42	44	20	13.0	880.0	572.0	0.27
43	48	15	12.5	720.0	600.0	0.19
44	52	15	9.1	780.0	473.2	0.22
45	20	40	40.0	800.0	800.0	0.18
46	24	40	3.0	960.0	72.0	0.36
47	28	20	10.0	560.0	280.0	0.33
48	32	15	14.0	480.0	448.0	0.38
49	36	15	8.0	540.0	288.0	0.31
50	40	40	40.0	1600.0	1600.0	0.33
51	44	40	33.5	1760.0	1474.0	0.32
52	48	20	18.0	960.0	864.0	0.35
53	52	15	15.0	780.0	780.0	0.37

carListByTotalRange iterator
28	24	15	14.0	360.0	336.0	0.38
27	20	20	20.0	400.0	400.0	0.39
29	28	15	14.5	420.0	406.0	0.24
33	44	15	10.0	660.0	440.0	0.3
38	28	15	5.0	420.0	140.0	0.32
48	32	15	14.0	480.0	448.0	0.38
16	48	15	4.0	720.0	192.0	0.34
34	48	15	9.0	720.0	432.0	0.31
43	48	15	12.5	720.0	600.0	0.19
26	52	15	1.0	780.0	52.0	0.31
37	24	20	19.0	480.0	456.0	0.19
8	52	15	1.0	780.0	52.0	0.36
49	36	15	8.0	540.0	288.0	0.31
20	28	30	28.0	840.0	784.0	0.31
0	20	40	25.0	800.0	500.0	0.3
14	40	25	12.0	1000.0	480.0	0.33
32	40	20	19.0	800.0	760.0	0.28
10	24	40	20.0	960.0	480.0	0.3
11	28	30	28.0	840.0	784.0	0.3
44	52	15	9.1	780.0	473.2	0.22
36	20	40	39.0	800.0	780.0	0.41
7	48	15	4.0	720.0	192.0	0.37
39	32	15	0.0	480.0	0.0	0.34
17	52	15	1.0	780.0	52.0	0.32
53	52	15	15.0	780.0	780.0	0.37
47	28	20	10.0	560.0	280.0	0.33
19	24	40	20.0	960.0	480.0	0.37
13	36	30	6.0	1080.0	216.0	0.32
21	32	30	12.0	960.0	384.0	0.29
9	20	40	25.0	800.0	500.0	0.32
30	32	40	39.0	1280.0	1248.0	0.22
31	36	40	1.0	1440.0	36.0	0.27
22	36	30	6.0	1080.0	216.0	0.32
23	40	25	12.0	1000.0	480.0	0.33
2	28	30	28.0	840.0	784.0	0.34
40	36	40	22.0	1440.0	792.0	0.32
41	40	40	0.025	1600.0	1.0	0.35
42	44	20	13.0	880.0	572.0	0.27
24	44	20	17.0	880.0	748.0	0.34
3	32	30	12.0	960.0	384.0	0.35
45	20	40	40.0	800.0	800.0	0.18
35	52	40	39.0	2080.0	2028.0	0.42
1	24	40	20.0	960.0	480.0	0.3
4	36	30	6.0	1080.0	216.0	0.31
25	48	15	4.0	720.0	192.0	0.36
15	44	20	17.0	880.0	748.0	0.37
46	24	40	3.0	960.0	72.0	0.36
5	40	25	12.0	1000.0	480.0	0.32
51	44	40	33.5	1760.0	1474.0	0.32
52	48	20	18.0	960.0	864.0	0.35
6	44	20	17.0	880.0	748.0	0.39
12	32	30	12.0	960.0	384.0	0.32
18	20	40	25.0	800.0	500.0	0.35
50	40	40	40.0	1600.0	1600.0	0.33

carListByTotalRange iterator local
28	24	15	14.0	360.0	336.0	0.38
27	20	20	20.0	400.0	400.0	0.39
29	28	15	14.5	420.0	406.0	0.24
33	44	15	10.0	660.0	440.0	0.3
38	28	15	5.0	420.0	140.0	0.32
48	32	15	14.0	480.0	448.0	0.38
16	48	15	4.0	720.0	192.0	0.34
34	48	15	9.0	720.0	432.0	0.31
43	48	15	12.5	720.0	600.0	0.19
26	52	15	1.0	780.0	52.0	0.31
37	24	20	19.0	480.0	456.0	0.19
8	52	15	1.0	780.0	52.0	0.36
49	36	15	8.0	540.0	288.0	0.31
20	28	30	28.0	840.0	784.0	0.31
0	20	40	25.0	800.0	500.0	0.3
14	40	25	12.0	1000.0	480.0	0.33
32	40	20	19.0	800.0	760.0	0.28
10	24	40	20.0	960.0	480.0	0.3
11	28	30	28.0	840.0	784.0	0.3
44	52	15	9.1	780.0	473.2	0.22
36	20	40	39.0	800.0	780.0	0.41
7	48	15	4.0	720.0	192.0	0.37
39	32	15	0.0	480.0	0.0	0.34
17	52	15	1.0	780.0	52.0	0.32
53	52	15	15.0	780.0	780.0	0.37
47	28	20	10.0	560.0	280.0	0.33
19	24	40	20.0	960.0	480.0	0.37
13	36	30	6.0	1080.0	216.0	0.32
21	32	30	12.0	960.0	384.0	0.29
